Location Name,Description 1,Description 2,Description 3
Cabag Cave,"Lucsuhin Natural Bridge, locally called Cabag Cave or Lucsuhin Cave, is a natural bridge located between Lucsuhin and Kalubkob in Silang, Cavite province in the Philippines. The bridge, which crosses the Ylang-Ylang River, is the first large natural bridge reported in the country.","Activities: 1. Trekking There is a short trek towards the cave. It is about 20-30mins trek only. 2. Swimming At the mouth of the cave, there is a natural pool where you can plunge into. (Please avoid diving for the depths of the water is varying. You'll never know where is the deep part or the shallow part. Also, there are rocks under the water that may cause accidents.) 3. Bat sightings There are fruit bats inhabiting the cave. They have their nests at the ceiling of the cave. Just be careful not to disturb the bats so they will not roam around the cave while you are passing through. (Do not panic, they do not attack nor bite people.)",
Pico de Loro,"Mount Pico de Loro, also known as Mount Palay-Palay, is a dormant volcano in Cavite province on the island of Luzon, Philippines. The mountain rises to an elevation of 688 m above mean sea level and is the highest peak of the Mounts Palay-Palay Mataas-na-Gulod Protected Landscape.[1] The mountain is one of the ancient volcanic features of Bataan Arc.",,
Corregidor Island,"Corregidor Island, rocky island, strategically located at the entrance of Manila Bay, just south of Bataan province, Luzon, Philippines. It is a national shrine commemorating the battle fought there by U.S. and Filipino forces against overwhelming numbers of Japanese during World War II.",,
Balite Falls,"Balite Falls is a privately owned resort. A 929-meter road from Crisanto Delos Reyes Avenue is the only access to this falls and is accessible to any type of vehicle. The resort is not a top notch class resort yet is one of the nearest waterfall spot for the people of Cavite and those coming from Manila. From Manila, it is only about an hour and a half drive along the Cavite Expressway. Cottages are available along the side of the stream and small overnight hostel is available as well as a bar. However when I was there, it seems that the bar is no longer available except for a karaoke machine. The place is suggested to be a good picnic area but not a place that would be good to stay overnight. Amenities are not that top notch. There is only a single restroom for the whole resort and 3 dressing rooms. There is no shower room as the area already has natural fresh water flowing from the pipes along the side of the stream which can be used as a shower. The water from the catch basin of the falls was artificially blocked by sand bags to maintain the basin with sufficient water for swimming. The bad thing about it is that because it is blocked and it takes time before the water to flow freely to the stream, the catch basin water tends to be murky when more people are there. Anchovies and tadpoles swim along with you. Not in great numbers though. And this is also one of the effects when you block a natural waterway, the fishes tend to stay in one place as well. The falls itself is a beauty. Not something you expect as a big waterfall as it can be safely said that Balite Falls is more of a stream as the area to where it is located is a plain land. There are no mountains nearby. Just right where the falls fall from the rock is a deep area. A rope line has been placed by the management to warn people that if you go beyond that rope and get near the falls is already 18-feet deep. Entrance fee is a bit of a turn-off. With few amenities that the resort can offer, it charges P75 per person for 7 years old and above. Much more expensive than Sto. Nino Cold Spring at Camiguin to which this resort is almost similar; that costs only P25/pax for an entrance fee. The verdict is that, Balite Falls is an ample spot for people who are on a budget and would like to swim or a have a picnic get-together with your family and friends if you happen to just had been to Tagaytay City.",,
Tagaytay Ridge,"Mount Sungay is the eastern end of the Tagaytay Range, or more commonly known as the Tagaytay Ridge, a 32-kilometre ridge located at the southern part of the province with elevations averaging about 600 m above sea level. The ridge stretches west-southwest from Mount Sungay to Mount Batulao in Batangas province.The ridge, which overlooks Taal Lake in Batangas province, is actually the northern rim of Taal Caldera. The wide cavity of the ancient volcano is partially filled by Taal Lake with Taal Volcano, the second most active volcano in the country, situated near the middle of the lake. The northern slope of the ridge is gently rolling down slope till it reaches the sea level at Manila Bay, in contrast to the rapid drop in its southern slopes and east of Mount Sungay. At some places on the lakeside appear great escarpments of 20 m and more of altitude, that are almost vertical, as at Mahabangato, in Barangay Banga, and at Balitbiring, in Barangay Caloocan in Talisay, Batangas. Tagaytay Ridge is part of the upland mountainous area of the province of Cavite, which include the communities of Tagaytay, Silang, Amadeo, Mendez, Alfonso, Indang and southern part of Maragondon. The municipalities are situated at elevations above 400 meters with slopes of more than 2%.",,
Puzzle Mansion,"The Puzzle Mansion is a museum in Tagaytay, Cavite, Philippines which hosts a collection of jigsaw puzzle which from 2012 to 2017 was recognized to be the biggest in the world according to Guinness.[1]",,
Gen. Emilio Aguinaldo Shrine,"The Emilio Aguinaldo Shrine is a national shrine located in Kawit, Cavite in the Philippines, where the Philippine Declaration of Independence from Spain was declared on June 12, 1898.[3] To commemorate the event, now known as Araw ng Kalayaan or Independence Day, a national holiday, the Philippine flag is raised here by top government officials on June 12 each year. The house is now a museum.",,
Imus Cathedral,"The Diocesan Shrine and Parish of the Our Lady of the Pillar - Imus Cathedral, commonly known as the Imus Cathedral, is a Roman Catholic cathedral church in the city of Imus, in the province of Cavite, Philippines. The city, which is the capital of the province, also serves as the seat of the bishop of the Diocese of Imus, the diocese that has jurisdiction over the entire Civil Province of Cavite. Enshrined inside the cathedral is the original, miraculous and canonically crowned image of Nuestra Senora del Pilar de Imus (Our Lady of the Pillar). The said title of the Blessed Virgin Mary serves as the titular patroness of the Diocese of Imus, Province of Cavite, as implied by then pope, now a saint, John XXIII. John the Baptist is also considered the secondary patron saint of the city. The current parish priest and rector of the cathedral is George Morales, vicar general of the diocese. The church itself features the longest Holy Week procession in the province of Cavite, with at least 70 floats and the country's 5th longest overall (the other four being the St Augustine Parish, Baliuag, and San Isidro Labrador, Pulilan, both located in the province of Bulacan, with at least 110 floats per parish, The Our Lady Of the Abandoned in Marikina, with 82 floats, and The Our Lady of Aranzazu San Mateo, Rizal with 76 floats). Currently, the cathedral is being elevated into Cathedral Shrine.[3]",,
Museo De La Salle,"The Museo de La Salle, located within the campus of the De La Salle University-Dasmari as, is a unique, cultural, cross-disciplinary institution serving as a permanent museum of the De La Salle University System. As a resource center for both indoor and outdoor collections, it dedicates itself to the gathering of collectible objects of intrinsic value significant to the preservation of certain aspects of the Philippine ilustrado lifestyle.",,
Patungan Beach Cove,"While Patungan Beach Cove may not be your usual white sand beach destination, its waters remain ideal for swimming. The destination itself is also surrounded by scenic views of nearby hills, which make for great photos. Guests can choose to rent a cottage for a day of basking under the sun while enjoying fresh seafood dishes. Other activities beach goers can expect to enjoy include fish feeding, cliff diving, bonfire, and videoke. Recently, island hopping has also become popular due to the clear waters of its neighboring islands. With the guidance from locals, island hopping tours take you around nearby rock formations and the white beaches of Mugiw Island, Carabao Island and Crocodile Island all in one day. These islands offer pristine waters, friendly accommodations, and a charming vibe that will make you feel like you re hours away from the city. ",,
