Location,description_1,description_2,description_3,description
Laiya Beach and Resorts,"Laiya Beach and Resorts Probably one of the most popular beaches and tourist spots in Batangas province, Laiya has always been my favorite beach destination in Batangas. Boasting a long stretch of shoreline with cream sand beach, enticing clear waters, and a variety of fun water activities, it is an ideal beach near Metro Manila where you and your partner, family and friends could enjoy a perfect blend of recreation and relaxation. Laiya is also home to a wide array of hotels, beach resorts, guest rooms, transient and vacation houses where you could have a relaxing stay while enjoying the beach. So, when traveling to Laiya, finding a place to stay will never be a problem. ","Laiya Aplaya, or simply Laiya, is another seaside barangay that pretty much represents the whole town of San Juan in terms of tourism. In fact, many beach resorts in other parts of the municipality   like those in nearby Barangay Hugom   are also being marketed with the term Laiya in tow to catch more attention or spark interest. The long and wide stretch of fine light-colored sand harbors numerous resorts and hotels, ranging from budget to high-end. It has become one of the go-to weekend destinations and a venue for events such as company outings and even weddings.","Laiya in Batangas reigns supreme when it comes to nearby beaches with pristine sands and crystal clear blue waters. This coastal area encompassing two barangays is laden with various resorts that boast of white sands and stunning coastal landscapes. Not to mention, it s also only a two to three-hour drive from Manila, so you can go on a day tour or on a weekend staycation to swim the weekday blues away","Laiya Beach and Resorts Probably one of the most popular beaches and tourist spots in Batangas province, Laiya has always been my favorite beach destination in Batangas. Boasting a long stretch of shoreline with cream sand beach, enticing clear waters, and a variety of fun water activities, it is an ideal beach near Metro Manila where you and your partner, family and friends could enjoy a perfect blend of recreation and relaxation. Laiya is also home to a wide array of hotels, beach resorts, guest rooms, transient and vacation houses where you could have a relaxing stay while enjoying the beach. So, when traveling to Laiya, finding a place to stay will never be a problem. Laiya Aplaya, or simply Laiya, is another seaside barangay that pretty much represents the whole town of San Juan in terms of tourism. In fact, many beach resorts in other parts of the municipality   like those in nearby Barangay Hugom   are also being marketed with the term Laiya in tow to catch more attention or spark interest. The long and wide stretch of fine light-colored sand harbors numerous resorts and hotels, ranging from budget to high-end. It has become one of the go-to weekend destinations and a venue for events such as company outings and even weddings.Laiya in Batangas reigns supreme when it comes to nearby beaches with pristine sands and crystal clear blue waters. This coastal area encompassing two barangays is laden with various resorts that boast of white sands and stunning coastal landscapes. Not to mention, it s also only a two to three-hour drive from Manila, so you can go on a day tour or on a weekend staycation to swim the weekday blues away"
Verde Island,"Verde Island Verde Island is one of the emerging tourist spots in Batangas province, especially for adventurers and beach lovers. Located in Batangas City, Isla Verde is located between the island of Mindoro and Luzon. Situated along the Verde Island Passage, it is dubbed as ""Center of the Center of Marine Biodiversity in the World."" A must-visit ""off-the-beaten"" destination"" and a favorite among local and foreign tourists, it is known for its pristine clear waters and amazing underwater treasures where you can enjoy an amazing vacation away from the crowd.  ","Verde Island, also called Isla Verde, is nestled in the middle of Verde Island Passage, hailed as the center of the world s marine biodiversity by a 2007 Smithsonian Institute study. Just 45 minutes off the Batangas mainland, this sleepy fishing island in Batangas City remains undisturbed by tourism as of today. With very few resorts, homestays and restaurants (particularly in Mahabang Buhangin and Cueva Sitio), its rugged shores are almost devoid of tourists. But that s not to say that this breathtaking island has nothing to offer. In fact, it offers something that not many Luzon destinations can provide   some peace and quiet. Verde Island is perfect for those who are looking for a serene, back-to-basics kind of beach escape.","If you want to reward yourself from your hard work or from everything fulfilling that you did, you should go to Isla Verde as a prize for yourself. This island in Batangas, although located just an hour away from the city, you won t see any touch of modernity. And that what makes it special. Going there is like an escape from the busy and occupied society. A real paradise that s hidden beneath the ocean offers a unique diving experience for everyone. Different species of corals and other marine animals can be found in Isla Verde. This island is indeed for people who want to explore more than what meets the eye. ","Verde Island Verde Island is one of the emerging tourist spots in Batangas province, especially for adventurers and beach lovers. Located in Batangas City, Isla Verde is located between the island of Mindoro and Luzon. Situated along the Verde Island Passage, it is dubbed as ""Center of the Center of Marine Biodiversity in the World."" A must-visit ""off-the-beaten"" destination"" and a favorite among local and foreign tourists, it is known for its pristine clear waters and amazing underwater treasures where you can enjoy an amazing vacation away from the crowd.  Verde Island, also called Isla Verde, is nestled in the middle of Verde Island Passage, hailed as the center of the world s marine biodiversity by a 2007 Smithsonian Institute study. Just 45 minutes off the Batangas mainland, this sleepy fishing island in Batangas City remains undisturbed by tourism as of today. With very few resorts, homestays and restaurants (particularly in Mahabang Buhangin and Cueva Sitio), its rugged shores are almost devoid of tourists. But that s not to say that this breathtaking island has nothing to offer. In fact, it offers something that not many Luzon destinations can provide   some peace and quiet. Verde Island is perfect for those who are looking for a serene, back-to-basics kind of beach escape.If you want to reward yourself from your hard work or from everything fulfilling that you did, you should go to Isla Verde as a prize for yourself. This island in Batangas, although located just an hour away from the city, you won t see any touch of modernity. And that what makes it special. Going there is like an escape from the busy and occupied society. A real paradise that s hidden beneath the ocean offers a unique diving experience for everyone. Different species of corals and other marine animals can be found in Isla Verde. This island is indeed for people who want to explore more than what meets the eye. "
Taal Heritage Town,"Taal Heritage Town One of the most popular things to do in Batangas is visiting the heritage town of Taal, Batangas, which is like traveling back in time. Taal reigns as one of the most culturally preserved sites of the Spanish colonial era in our country. The town conforms to the common old town layout of having the town plaza surrounded by the municipal hall, the church, schools and houses of renowned residents. Must-visit are the old houses of Taal, the Taal Basilica which is known as the ""Biggest Catholic Church in Asia"", Taal Public Market where you could buy Tapang Taal, Caysasay Shrine and the Sacred Well of Sta. Lucia, among other interesting heritage and historical sites.   The Well-preserved Spanish Colonial Town of Taal Caysasay Shrine and the Sacred Well of Sta. Lucia The Heritage Houses of Taal ","Taal was originally located in what is now the town of San Nicolas near the Taal Lake. The former provincial capital was forced to relocate to its present location when the Taal Volcano violently erupted in the mid-18th century. Although commercialization is apparent, the town center still elicits that strong old town vibe with the well-preserved town hall building and ancestral houses flanking the streets. But the town s highlight is the Basilica de San Martin de Tours (or simply Taal Basilica), said to be the biggest Catholic church in Asia. Sitting atop a hill, it definitely commands attention and an iconic landmark. If you get hungry, you can try some of Batangas  signature dishes like the tapang Taal and Taal longganisa. You can order these at Don Juan BBQ near Taal Market, where you can also go food tripping or pasalubong shopping. If you have more time, you can also check out the Taal-made Barong Tagalong, balisong-making, and Taal embroidery products.","The most interesting part of going around Taal town proper is having to see the heritage houses that allow people to travel back in time as their unique exquisiteness from the olden days was preserved for the present generation to catch a glimpse of. Some of these heritage houses were turned into museums, others into galleries, a couple of them were transformed into gift shops. But in general, these heritage houses serve as concrete proofs of the rich cultural heritage passed on from one generation to the succeeding one. The Heritage Village will open doors to Taale os  colorful way of life in the past.","Taal Heritage Town One of the most popular things to do in Batangas is visiting the heritage town of Taal, Batangas, which is like traveling back in time. Taal reigns as one of the most culturally preserved sites of the Spanish colonial era in our country. The town conforms to the common old town layout of having the town plaza surrounded by the municipal hall, the church, schools and houses of renowned residents. Must-visit are the old houses of Taal, the Taal Basilica which is known as the ""Biggest Catholic Church in Asia"", Taal Public Market where you could buy Tapang Taal, Caysasay Shrine and the Sacred Well of Sta. Lucia, among other interesting heritage and historical sites.   The Well-preserved Spanish Colonial Town of Taal Caysasay Shrine and the Sacred Well of Sta. Lucia The Heritage Houses of Taal Taal was originally located in what is now the town of San Nicolas near the Taal Lake. The former provincial capital was forced to relocate to its present location when the Taal Volcano violently erupted in the mid-18th century. Although commercialization is apparent, the town center still elicits that strong old town vibe with the well-preserved town hall building and ancestral houses flanking the streets. But the town s highlight is the Basilica de San Martin de Tours (or simply Taal Basilica), said to be the biggest Catholic church in Asia. Sitting atop a hill, it definitely commands attention and an iconic landmark. If you get hungry, you can try some of Batangas  signature dishes like the tapang Taal and Taal longganisa. You can order these at Don Juan BBQ near Taal Market, where you can also go food tripping or pasalubong shopping. If you have more time, you can also check out the Taal-made Barong Tagalong, balisong-making, and Taal embroidery products.The most interesting part of going around Taal town proper is having to see the heritage houses that allow people to travel back in time as their unique exquisiteness from the olden days was preserved for the present generation to catch a glimpse of. Some of these heritage houses were turned into museums, others into galleries, a couple of them were transformed into gift shops. But in general, these heritage houses serve as concrete proofs of the rich cultural heritage passed on from one generation to the succeeding one. The Heritage Village will open doors to Taale os  colorful way of life in the past."
Nasugbu Beaches and Resorts,"Nasugbu Beaches and Resorts Located in the western coast of Batangas province, the municipality of Nasugbu is dotted with many hotels, beach resorts and vacation houses ideal for a quick trip from Metro Manila. Just 2 hours away from the Philippines' capital, Nasugbu will greet you with nice beaches and coves, lovely beach resorts, budget-friendly hotels and vacation houses where you, your family and friends will surely enjoy and have a relaxing and memorable vacation.   ","One of the areas in Batangas that had an early taste of development is Nasugbu. Its seaside villages have flourished into resort villages, which are lined with long-established resorts. Some of its beaches and sand pockets are nestled within exclusive villages and resorts that require membership, connection, or prior booking to access them. These are Tali Beach Subdivision, Punta Fuego, Hamilo Coast, and Canyon Cove among others. But don t fret, most beaches, coves, and islands remain accessible even without prior reservation. These are Calayo Beach, Bituin Cove, Pulo Island, and Fortune Island, just to name a few","Nasugbu soon gained popularity over the years and was even considered as a hot summer spot. As the largest municipality of Batangas, much of Nasugbu is still in its natural and undeveloped state which fringes Mt. Palay-Palay National Park and four marine protected areas. But if you are picturing a wide expanse of seemingly endless forestry, you are wrong. Nasugbu is not just a seemingly endless wilderness. Like much of the country and even comparable to some of Cebu s hot spots, it is a tropical paradise that has much to offer to both beach bums and nature lovers alike. So, if you intend to take a trip up north anytime soon, do not overlook Nasugbu as a destination as the place might just surprise you. In this article, we have curated a list of the best spots and tourist attractions in Nasugbu that make it such a compelling visit to Batangas.","Nasugbu Beaches and Resorts Located in the western coast of Batangas province, the municipality of Nasugbu is dotted with many hotels, beach resorts and vacation houses ideal for a quick trip from Metro Manila. Just 2 hours away from the Philippines' capital, Nasugbu will greet you with nice beaches and coves, lovely beach resorts, budget-friendly hotels and vacation houses where you, your family and friends will surely enjoy and have a relaxing and memorable vacation.   One of the areas in Batangas that had an early taste of development is Nasugbu. Its seaside villages have flourished into resort villages, which are lined with long-established resorts. Some of its beaches and sand pockets are nestled within exclusive villages and resorts that require membership, connection, or prior booking to access them. These are Tali Beach Subdivision, Punta Fuego, Hamilo Coast, and Canyon Cove among others. But don t fret, most beaches, coves, and islands remain accessible even without prior reservation. These are Calayo Beach, Bituin Cove, Pulo Island, and Fortune Island, just to name a fewNasugbu soon gained popularity over the years and was even considered as a hot summer spot. As the largest municipality of Batangas, much of Nasugbu is still in its natural and undeveloped state which fringes Mt. Palay-Palay National Park and four marine protected areas. But if you are picturing a wide expanse of seemingly endless forestry, you are wrong. Nasugbu is not just a seemingly endless wilderness. Like much of the country and even comparable to some of Cebu s hot spots, it is a tropical paradise that has much to offer to both beach bums and nature lovers alike. So, if you intend to take a trip up north anytime soon, do not overlook Nasugbu as a destination as the place might just surprise you. In this article, we have curated a list of the best spots and tourist attractions in Nasugbu that make it such a compelling visit to Batangas."
Cintai Corito's Garden,"Cintai Corito's Garden Built by the love of a man for his wife, Cintai Corito's Garden is a Balinese-inspired vacation rest house turned into a resort and spa in Balete, Batangas. This 7-hectare property is an ideal hideaway for couples, families and group of friends wanting to experience a unique vacation in Batangas. It's a perfect place if you want to relax unwind, and take a breather from your daily life. Here, you could relax by the gardens, swim in any of the 4 pools with your loved ones, enjoy the locals cuisines, avail their relaxing massage and spa packages, use the resort's facilities, and many more. The resort's Bali-inspired architecture, delicious food, intricate and elegantly-designed villas will certainly take every guest into a ""one of a kind"" and relaxing resort accommodation experience in Batangas. ","Sprawled in a seven-hectare property, Cintai Corito s Garden used to be a private resthouse that has been converted to a Bali-inspired resort and spa complex. The resort amenities include gardens, playgrounds, a restaurant, and four swimming pools. If you see some free-roaming animals like ducks and ponies strolling around, just relax and share the space with them. To complete your relaxing stay, you can avail of its spa and massage services.","Cintai Corito's Garden is a Balinese-inspired sanctuary tucked in the heart of Balete, Batangas. The resort is 1-1.5 hour drive from Manila and is easily accessible via the STAR Tollway Relax and be energized with a stay in one of Cintai s 18 spacious villas. Enjoy a delectable meal at Abadi Restaurant with its Asian and Filipino cuisine favorites. For weddings, birthdays, meetings, social functions, and photoshoots, the resort s pavilions and garden areas provide the perfect backdrop to make your event memorable. And, you ll surely love Cintai s beautifully landscaped gardens, peaceful ambience, Asian-inspired carvings & portals, al fresco dining areas, outdoor pools, and warm hospitality   truly a great place to recharge and have fun with family and friends","Cintai Corito's Garden Built by the love of a man for his wife, Cintai Corito's Garden is a Balinese-inspired vacation rest house turned into a resort and spa in Balete, Batangas. This 7-hectare property is an ideal hideaway for couples, families and group of friends wanting to experience a unique vacation in Batangas. It's a perfect place if you want to relax unwind, and take a breather from your daily life. Here, you could relax by the gardens, swim in any of the 4 pools with your loved ones, enjoy the locals cuisines, avail their relaxing massage and spa packages, use the resort's facilities, and many more. The resort's Bali-inspired architecture, delicious food, intricate and elegantly-designed villas will certainly take every guest into a ""one of a kind"" and relaxing resort accommodation experience in Batangas. Sprawled in a seven-hectare property, Cintai Corito s Garden used to be a private resthouse that has been converted to a Bali-inspired resort and spa complex. The resort amenities include gardens, playgrounds, a restaurant, and four swimming pools. If you see some free-roaming animals like ducks and ponies strolling around, just relax and share the space with them. To complete your relaxing stay, you can avail of its spa and massage services.Cintai Corito's Garden is a Balinese-inspired sanctuary tucked in the heart of Balete, Batangas. The resort is 1-1.5 hour drive from Manila and is easily accessible via the STAR Tollway Relax and be energized with a stay in one of Cintai s 18 spacious villas. Enjoy a delectable meal at Abadi Restaurant with its Asian and Filipino cuisine favorites. For weddings, birthdays, meetings, social functions, and photoshoots, the resort s pavilions and garden areas provide the perfect backdrop to make your event memorable. And, you ll surely love Cintai s beautifully landscaped gardens, peaceful ambience, Asian-inspired carvings & portals, al fresco dining areas, outdoor pools, and warm hospitality   truly a great place to recharge and have fun with family and friends"
Anilao Beaches and Resorts,"Anilao Beaches and Resorts Known as one of the best diving spots in the Philippines, Anilao in Mabini Batangas is also home to many lovely beach resorts and a favorite among city dwellers wanting to have a quick escape from the hustle and bustle of the city. It may not have white sandy beaches, but its underwater ecosystem is its biggest tourist drawer. More to that, it also offers amazing sights, nice beaches, coves and islands, as well as an array of fun and exciting water activities that you, your family and friends will surely enjoy.  ","Due to its popularity, Anilao has become the poster image of the municipality of Mabini. It has become synonymous with the town it represents. In reality, however, Anilao is just a barangay and many of the resorts that are often tagged  Anilao  are located in other nearby villages. Tucked in the northern coast of Calumpang peninsula, it is one of the areas in Batangas that underwent development ahead of others. Regarded as the birthplace of scuba diving in the Philippines, Anilao s rich and colorful underwater scenery attracts visitors more than its shores. Anilao is also a setting-off point to other attractions including Sombrero Island and Masasa Beach in Tingloy, the only island municipality of Batangas. It is also the jump-off point to Mt. Gulugod Baboy, a relatively easy hike, perfect for trekking beginners. Some hikers head to the beaches to take a refreshing swim after the climb.","Anilao is a resort destination popular on the weekends as a relaxing getaway for people from Manila. Over the last decade it has also become a famous and popular diving destination in the Philippines, and for good reason. Anilao offers the best Macro Underwater Photography opportunities in the Philippines and is also one of the best places in the World to observe rare Critters and other strange small underwater creatures.","Anilao Beaches and Resorts Known as one of the best diving spots in the Philippines, Anilao in Mabini Batangas is also home to many lovely beach resorts and a favorite among city dwellers wanting to have a quick escape from the hustle and bustle of the city. It may not have white sandy beaches, but its underwater ecosystem is its biggest tourist drawer. More to that, it also offers amazing sights, nice beaches, coves and islands, as well as an array of fun and exciting water activities that you, your family and friends will surely enjoy.  Due to its popularity, Anilao has become the poster image of the municipality of Mabini. It has become synonymous with the town it represents. In reality, however, Anilao is just a barangay and many of the resorts that are often tagged  Anilao  are located in other nearby villages. Tucked in the northern coast of Calumpang peninsula, it is one of the areas in Batangas that underwent development ahead of others. Regarded as the birthplace of scuba diving in the Philippines, Anilao s rich and colorful underwater scenery attracts visitors more than its shores. Anilao is also a setting-off point to other attractions including Sombrero Island and Masasa Beach in Tingloy, the only island municipality of Batangas. It is also the jump-off point to Mt. Gulugod Baboy, a relatively easy hike, perfect for trekking beginners. Some hikers head to the beaches to take a refreshing swim after the climb.Anilao is a resort destination popular on the weekends as a relaxing getaway for people from Manila. Over the last decade it has also become a famous and popular diving destination in the Philippines, and for good reason. Anilao offers the best Macro Underwater Photography opportunities in the Philippines and is also one of the best places in the World to observe rare Critters and other strange small underwater creatures."
Caleruega Church,"Located in Batulao, Brgy. Kaylaway in Nasugbu, Batangas, Caleruega Church is a lovely chapel perched on top of a hill and surrounded by panoramic views of breathtaking scenery. The chapel is quite small, but has a beautiful architecture, and a very peaceful ambiance. As one of the most popular wedding churches near Tagaytay, it is a charming and heavenly venue for a memorable wedding ceremony. Click here for the mass schedules and how to get there.","Caleruega got its name from a town in Spain, which was the birthplace of St. Dominic de Guzman, father of the Order of Preachers. Known as one of the most popular wedding churches near Tagaytay ( it is actually in Nasugbu, batangas ), the Caleruega Church is perfectly perched atop a hill. Because it is surrounded by greenery, needless to say, Caleruega is promoted as a place that is close to nature and closer to God. Its awesome landscape and breathtaking view made up of hills, fields and the Batulao Mountains captivates every visitor. The first thing that will greet you upon arriving here is the Cenaculum, which is where its retreat center, office and dining area are located. After a short uphill walk (about 100 steps), you will find Caleruega or the Transfiguration Chapel.","Recognized as a  dream wedding destination of soon-to-wed couples, Calaruega Church is a prominent church wedding venue in Nasugbu, Batangas. This church wedding venue lies in an excellent altitude, which makes this place placid. Calaruega Church is gracing an authentic rural vibe in the proximity of a rising city. Despite the various developments, the vicinity of Calaruega is still identified to be a perfect venue for reflection and retreat. Around a hunch of tranquility in the Transfiguration Chapel, a breath-taking view of Mt. Batulao invites guests to take a look and unwind in a while. The nature-friendly visuals that the church owns make the place a sought after wedding destination for couples. Into the reality that this wedding church venue is a bit pricey compared to other wedding churches, but since this place falls on a perfect elevation and location closed to many wedding reception venues, couples are given a benefit to holding a dream wedding courtesy of the southern jewels.","Located in Batulao, Brgy. Kaylaway in Nasugbu, Batangas, Caleruega Church is a lovely chapel perched on top of a hill and surrounded by panoramic views of breathtaking scenery. The chapel is quite small, but has a beautiful architecture, and a very peaceful ambiance. As one of the most popular wedding churches near Tagaytay, it is a charming and heavenly venue for a memorable wedding ceremony. Click here for the mass schedules and how to get there.Caleruega got its name from a town in Spain, which was the birthplace of St. Dominic de Guzman, father of the Order of Preachers. Known as one of the most popular wedding churches near Tagaytay ( it is actually in Nasugbu, batangas ), the Caleruega Church is perfectly perched atop a hill. Because it is surrounded by greenery, needless to say, Caleruega is promoted as a place that is close to nature and closer to God. Its awesome landscape and breathtaking view made up of hills, fields and the Batulao Mountains captivates every visitor. The first thing that will greet you upon arriving here is the Cenaculum, which is where its retreat center, office and dining area are located. After a short uphill walk (about 100 steps), you will find Caleruega or the Transfiguration Chapel.Recognized as a  dream wedding destination of soon-to-wed couples, Calaruega Church is a prominent church wedding venue in Nasugbu, Batangas. This church wedding venue lies in an excellent altitude, which makes this place placid. Calaruega Church is gracing an authentic rural vibe in the proximity of a rising city. Despite the various developments, the vicinity of Calaruega is still identified to be a perfect venue for reflection and retreat. Around a hunch of tranquility in the Transfiguration Chapel, a breath-taking view of Mt. Batulao invites guests to take a look and unwind in a while. The nature-friendly visuals that the church owns make the place a sought after wedding destination for couples. Into the reality that this wedding church venue is a bit pricey compared to other wedding churches, but since this place falls on a perfect elevation and location closed to many wedding reception venues, couples are given a benefit to holding a dream wedding courtesy of the southern jewels."
Matabungkay Beach,"Matabungkay Beach The town of Lian's claim to fame is its Matabungkay Beach which is said to have been discovered by German tourists way back in the 1950s. When I was a kid, I remember going here in one summer vacation because it is near where we live in Cavite. It is really one of the most popular beach destination near Metro Manila back in the 1980's. Today, Matabungkay Beach is still one of the favorite weekend destinations among tourists because of its proximity from Metro Manila. ","Matabungkay may sound  old school  now, but it became well-known for a reason. This strip along the coast of Lian has attracted tourists since the 1950s. In its heyday, it was one of the prettiest, most easily accessible beaches from Manila. Today, of course, a lot has changed. Other beaches have been  discovered  over the years, pushing Matabungkay to the back seat. But although Matabungkay isn t as popular as the other Batangan beaches, it remains a go-to place for family outings and group excursions among local tourists. The long stretch of ash-colored sand is lined with resorts, stores, and houses. But its most striking feature is the the dozens of iconic floating bamboo raft cottages.","Matabungkay, a town situated along the idyllic coastal town of Lian in Batangas, is a popular area for water sports such as swimming, diving, boating and snorkeling. It has a 2 kilometre stretch of good beach and sand. According to my parents, back in the 90 s it was THE place to be for family and company outings, weekend getaways with friends, and group excursions during its heyday. Is it still worth visiting? Here s an honest review of Matabunkay Beach in Lian, Batangas","Matabungkay Beach The town of Lian's claim to fame is its Matabungkay Beach which is said to have been discovered by German tourists way back in the 1950s. When I was a kid, I remember going here in one summer vacation because it is near where we live in Cavite. It is really one of the most popular beach destination near Metro Manila back in the 1980's. Today, Matabungkay Beach is still one of the favorite weekend destinations among tourists because of its proximity from Metro Manila. Matabungkay may sound  old school  now, but it became well-known for a reason. This strip along the coast of Lian has attracted tourists since the 1950s. In its heyday, it was one of the prettiest, most easily accessible beaches from Manila. Today, of course, a lot has changed. Other beaches have been  discovered  over the years, pushing Matabungkay to the back seat. But although Matabungkay isn t as popular as the other Batangan beaches, it remains a go-to place for family outings and group excursions among local tourists. The long stretch of ash-colored sand is lined with resorts, stores, and houses. But its most striking feature is the the dozens of iconic floating bamboo raft cottages.Matabungkay, a town situated along the idyllic coastal town of Lian in Batangas, is a popular area for water sports such as swimming, diving, boating and snorkeling. It has a 2 kilometre stretch of good beach and sand. According to my parents, back in the 90 s it was THE place to be for family and company outings, weekend getaways with friends, and group excursions during its heyday. Is it still worth visiting? Here s an honest review of Matabunkay Beach in Lian, Batangas"
The Marian Orchard,"The Marian Orchard The Marian Orchard is a pilgrimage site located in Brgy. Malabanan, Balete, Batangas. This sprawling property is host to a chapel, a huge rosary, and several European-inspired gardens and structures that will surely give every visitor a memorable visit. If you plan to visit it during holy week, they also have life-size stations of the cross where you could do your Lenten reflection. It is a spiritual sanctuary frequented by Marian devotees and pilgrims visiting the Province of Batangas. It is open everyday from 7:00 am to 7:00 pm, including holidays. Last entry is at 5:00 PM and entrance fee is 50 pesos. Holy masses are held every first Friday of the month, Saturdays, and Sundays at 4:00 PM. Click here for more information and how to get there.",The Marian Orchard shall serve as a spiritual oasis that will promote the Roman Catholic religion through the propagation of Marian devotion and other religious activities that will inspire a renewal of FAITH. The Marian Orchard is a pilgrimage site for prayer and reflection.  ,"Marian Orchard is a well-known Catholic pilgrimage site in Balete, Batangas. Its beauty will remind you of the European gardens you see in photos. Before I went to the place, I wasn t expecting much. Only that there would be a lot of flowers and stuff. Marian Orchard is a pilgrimage site for Roman Catholics that promotes the religion through the propagation of Marian devotion and other religious activities. The place was started by Lazaro L. Katigbak in 1988 after he acquired the land. In January 2015, Lazaro and FAITH Colleges (First Asia Institute of Technology and Humanities) entered into a partnership. Maybe that s the reason of the large improvements that we saw from a couple of years ago visit.","The Marian Orchard The Marian Orchard is a pilgrimage site located in Brgy. Malabanan, Balete, Batangas. This sprawling property is host to a chapel, a huge rosary, and several European-inspired gardens and structures that will surely give every visitor a memorable visit. If you plan to visit it during holy week, they also have life-size stations of the cross where you could do your Lenten reflection. It is a spiritual sanctuary frequented by Marian devotees and pilgrims visiting the Province of Batangas. It is open everyday from 7:00 am to 7:00 pm, including holidays. Last entry is at 5:00 PM and entrance fee is 50 pesos. Holy masses are held every first Friday of the month, Saturdays, and Sundays at 4:00 PM. Click here for more information and how to get there.The Marian Orchard shall serve as a spiritual oasis that will promote the Roman Catholic religion through the propagation of Marian devotion and other religious activities that will inspire a renewal of FAITH. The Marian Orchard is a pilgrimage site for prayer and reflection.  Marian Orchard is a well-known Catholic pilgrimage site in Balete, Batangas. Its beauty will remind you of the European gardens you see in photos. Before I went to the place, I wasn t expecting much. Only that there would be a lot of flowers and stuff. Marian Orchard is a pilgrimage site for Roman Catholics that promotes the religion through the propagation of Marian devotion and other religious activities. The place was started by Lazaro L. Katigbak in 1988 after he acquired the land. In January 2015, Lazaro and FAITH Colleges (First Asia Institute of Technology and Humanities) entered into a partnership. Maybe that s the reason of the large improvements that we saw from a couple of years ago visit."
Masasa Beach in Tingloy,"Masasa Beach in Tingloy The beaches in Batangas is one of the most popular Batangas tourist spots among local and foreign tourists. The island municipality of Tingloy is known for Masasa Beach. This stretch of pristine fine sand, clear waters and impressive rock formations is a favorite beach destination among tourists and campers. Here, you could enjoy snorkeling, island hopping to Sombrero Island and Sepoc Island, beach camping, hiking to Mag-Asawang Bato to get a bird's eyeview of the beach, cliff diving from Tawil Rock, and so much more! Masasa Beach is a hidden gem in Tingloy Island with crystal clear waters, perfect for your beach getaway! ","The municipality of Tingloy occupies Maricaban Island, making it the only municipality outside mainland Batangas. It s situated off the tip of the peninsula and sandwiched by Balayan Bay and Batangas Bay. For a long time, the isolated town has been off the radar until beachgoers heard the news about Masasa Beach, a pristine stretch of fine sand and clear waters. Today, Masasa Beach is one of the most popular attractions in the province, attracting thousands of tourists from Metro Manila and other parts of Luzon. The well-known Sombrero Island, which is often associated with Anilao, is actually part of Tingloy too. Another beach destination in Tingloy is Oscar Beach, sometimes called by the locals as Oscar Island. All these pieces of tropical paradise make Tingloy one of the fastest rising tourist destinations in the country.","Until very recently, Masasa Beach was a concealed gem, stashed away from the watchful eye of weekend warriors from Manila. But something this precious is hard to keep secret. As soon as word got out, tourists came in droves, rattling what used to be a dormant town. Masasa Beach is arguably the best beach in Tingloy, the only municipality in Batangas that is not on mainland Luzon. Its main island is the fish-shaped Maricaban, off the tip of Calumpang Peninsula separating Balayan Bay from Batangas Bay. The truth is, the sand here isn t as pearly white as what you would expect in Boracay or Palawan, but what Masasa Beach lacks in the brightness of its sand it makes up for in the vibrance of waves. Its crystal clear, shallow waters give off a beautiful turquoise shimmer, something that will catch your attention even from a great distance.","Masasa Beach in Tingloy The beaches in Batangas is one of the most popular Batangas tourist spots among local and foreign tourists. The island municipality of Tingloy is known for Masasa Beach. This stretch of pristine fine sand, clear waters and impressive rock formations is a favorite beach destination among tourists and campers. Here, you could enjoy snorkeling, island hopping to Sombrero Island and Sepoc Island, beach camping, hiking to Mag-Asawang Bato to get a bird's eyeview of the beach, cliff diving from Tawil Rock, and so much more! Masasa Beach is a hidden gem in Tingloy Island with crystal clear waters, perfect for your beach getaway! The municipality of Tingloy occupies Maricaban Island, making it the only municipality outside mainland Batangas. It s situated off the tip of the peninsula and sandwiched by Balayan Bay and Batangas Bay. For a long time, the isolated town has been off the radar until beachgoers heard the news about Masasa Beach, a pristine stretch of fine sand and clear waters. Today, Masasa Beach is one of the most popular attractions in the province, attracting thousands of tourists from Metro Manila and other parts of Luzon. The well-known Sombrero Island, which is often associated with Anilao, is actually part of Tingloy too. Another beach destination in Tingloy is Oscar Beach, sometimes called by the locals as Oscar Island. All these pieces of tropical paradise make Tingloy one of the fastest rising tourist destinations in the country.Until very recently, Masasa Beach was a concealed gem, stashed away from the watchful eye of weekend warriors from Manila. But something this precious is hard to keep secret. As soon as word got out, tourists came in droves, rattling what used to be a dormant town. Masasa Beach is arguably the best beach in Tingloy, the only municipality in Batangas that is not on mainland Luzon. Its main island is the fish-shaped Maricaban, off the tip of Calumpang Peninsula separating Balayan Bay from Batangas Bay. The truth is, the sand here isn t as pearly white as what you would expect in Boracay or Palawan, but what Masasa Beach lacks in the brightness of its sand it makes up for in the vibrance of waves. Its crystal clear, shallow waters give off a beautiful turquoise shimmer, something that will catch your attention even from a great distance."
