Location,Description
Pinto Art Museum,Pinto Art Museum is an exhibition space and contemporary museum located in the Philippines historic pilgrimage city of Antipolo outside of Manila The museum was founded in      to publicly exhibit the art collection of Filipino neurologist and patron of the arts Dr Joven Cuanang The museum pintô means door in Filipino was founded on the principle that art plays a diplomatic role in bridging distinctive nationalities worldviews and communities Established in      Pinto Art Museum was born from the art collection of its founder neurologist Dr Joven Cuanang From the museum s name pinto which translates to door the aim is to bridge diverse cultures and perspectives through arts The museum presents various types of arts sculptures paintings installations mixed media and more which revolve around religion historical events and different modernist movements It also showcases the works of Filipino contemporary artists Another popular feature that you should not miss when you visit is its in house restaurant the Cafe Rizal Designed by artist Antonio Leaño the whole museum complex is composed of white structures enclosed in a two hectare botanical garden It exudes a serene atmosphere It s not surprising that this is one of the most Instagrammed museums in the Philippines The place is also open to couples who want to do a prenuptial shoot Contact the management for the rates Pinto Art Museum is an art haven in the mountains of Antipolo It is owned by a neurologist and art collector Dr Joven Cuanang This museum is a perfect place to delight your eyes with different colorful paintings murals and artworks Your eyes will not just be satisfied but you will also learn and discover the beauty of contemporary Filipino art from young to senior artists in the country As the name implies Pinto means door in Filipino language which reflects the architectural design of the entire museum The buildings are composed of different galleries and each gallery has its own theme and centerpiece Just an hour away from Manila this art haven in the mount is truly easy to get to
Masungi Georeserve,In the nearby town of Baras you will find the Masungi Georeserve one of the well known Tanay tourist spots that provides a one of a kind experience that is good for small groups such as families and friends This is not for the faint of heart however as it requires walking on rope trails and hanging bridges The trail takes about   to   hours to complete taking you from a unique cob web like platform two peaks an air house and a cactus garden all through trails that bring you closer to nature The trail is only open to small groups and a reservation at least one week in advance is required A park ranger serves as a guide through the discovery trail Opened to the public in      the Masungi Georeserve is a conservation area managed and protected by concerned and passionate groups and individuals It aims to promote a mutually healthy coexistence between nature and people and to educate visitors about the importance of conservation through sustainable geotourism Located on the southern part of the Sierra Madre mountain range the georeserve has piqued the curiosity of weekend warriors especially those who are passionate about the environment and those interested in geology The whole area cradles limestone caves rock formations karst cliffs and rainforests The park has eco trails rope courses and hanging bridges that connect some of the key points inside the conservation area The Sapot cobweb and the Duyan hammock are two of the most popular features inside the park The park also enables several viewpoints from where you can admire stunning views of the mountains the park and even Laguna de Bay in some spots Note that Masungi Georeserve offers different trails so choose the one that suits your preference Please wear comfortable clothes and footwear with good grip and respect and follow the policies when inside the park Prior reservation is needed No walk ins Masungi Georeserve offers a combination of hiking and conservation appreciation The trail normally lasts for     hours but may be shortened or lengthened depending on the guests preference and capacity All trips to Masungi Georeserve require a park ranger to guide guests through the trek providing a deeper understanding of the area The park employs guides and park staff from locals from the indigenous Dumagat communities who live in nearby barangays like Cuyambay providing them an additional source of income
Daranak Falls,Long before Tanay became an adventure destination it was known for its waterfalls such as the Daranak Falls Located at the foot of the Sierre Madre Mountain range this    meter    ft waterfall offers a refreshing respite from the heat making it a popular destination during the summer The falls is maintained by the local municipal government It is also a popular place for families and friends during weekends to stop for picnics so if you want the falls to yourself the best days to go a weekday The fall s catch basin makes a perfect spot for a dip The    meter high Daranak Falls is one of the popular natural attractions in Tanay and a favored summer destination for locals and tourists alike Located at the foot of densely forested Tanay mountains the picturesque area with Daranak falls as its centerpiece features cascading waters rivers ponds and a huge natural pool There are picnic sheds and tables for rent Note that plastic styrofoam alcoholic beverages and pets are not allowed Please do not litter and clean as you go Daranak Falls is    meters high and surrounded by lush forests The crystal clear cool waters cascade down into a    ft deep catch basin amidst boulders and greenery It then flows into the river that trekkers to the falls can follow It s located in Barangay Tandang Kutyo in the town of Tanay Since recognizing the falls as a popular tourist destination the province of Rizal has begun efforts in preserving its natural beauty despite the influx of visitors During the summer the falls the pool and the river can be quite crowded given its proximity to Metro Manila
Batlag Falls,If the crowds at Daranak Falls overwhelm you you can choose to move to another nearby waterfall Batlag Falls You can reach this falls by a    minute walk It is owned by a private company so it charges a large entrance fee of   USD per person The smaller Batlag Falls has fewer visitors and it has picnic facilities Like Daranak its falls and their catch basins are fed by cool mountain water from the Sierra Madre If you want to take a dip or simply enjoy a quiet time in nature Batlag is the place for you Not too far from Daranak Falls is another set of cascades with swimming holes Batlag Falls You just need to trek uphill and deeper into the thick jungle to reach this beauty The cool water rushes down from a limestone cliff The water basins one shallow and one relatively deeper serve as swimming areas Try to explore farther from the main pools and you might find a less crowded swimming spot The best time to go is morning when there are fewer people Bring your own food and clean as you go One of the smaller pools on the stream leading to Batlag Falls Just like the area around Daranak Falls there are a number of shallow turquoise colored pools along the stream leading to the falls There are two falls here actually lying adjacent to each other The smaller falls has a deeper catch basin at    feet while the wider pool at the main falls is shallow to around   feet Batlag is set inside a forest clearing but the forest here is denser than that at Daranak Falls There are a number of table and benches for picnickers There are cottages or huts at the area just above the falls but these seem to be running down The whole area is not as clean and well taken care of compared to Daranak but the waters and the immediate area around the falls have been pretty well maintained While Daranak might be cleaner and better maintained over all Batlag Falls has far fewer visitors and gives us a greater sense of tranquility and oneness with nature
Avilon Zoo,Avilon Zoo is currently the largest zoological institution in the Philippines in terms of collection of live animals The     hectare facility located in Rodriguez Rizal houses more than       specimens of exotic wildlife representing more than     species of birds mammals reptiles amphibians freshwater fishes and invertebrates The zoo has a diverse collection of Philippine native and endemic fauna most of which have been bred successfully in captivity through AVILON ex situ conservation programs Avilon Zoo is currently the largest zoological institution in the Philippines in terms of land area and collection of animals The     hectare    acre facility located in Rodriguez Rizal houses more than       specimens of exotic wildlife representing more than     species of birds mammals reptiles amphibians freshwater fishes and invertebrates The zoo has a diverse collection of Philippine native fauna most of which have been bred successfully in captivity through Avilon ex situ conservation programs Avilon Zoo is also home to a diverse collection of plants of which more than half are endemic to Philippines Avilon Zoo aims to be one of Southeast Asia premiere wildlife facilities At Avilon Zoo guided tours and educational field trips offer guests the opportunity to learn about wildlife Conservation efforts being done to preserve threatened species and to protect the environment Aside from the animals and exhibits guests are encouraged to experience feeding animals like arapaimas exotic water fowl giant tortoises wild horses and deer and also interact with the zoo bunch of talented and friendly creatures I live in Montalban and almost every single day I see busloads of people going to Avilon I saw the reason why when I finally had the chance to go there Avilon is the biggest zoological institution in the Philippines in terms of land area It has       live specimens in its     hectare facility with over     species of birds mammals reptiles amphibians and a variety of freshwater fish No wonder a lot of local and even foreign visitors go all the way to Montalban to see it Frankly I don t like zoos I much prefer to see the animals in the wild However I can appreciate the reasons why they exist and seeing the animals in Avilon made me wish that all zoos in Metro Manila were as big and as well maintained as Avilon
Mount Daraitan,Mt Daraitan is located in the Sierra Madre Mountain range and borders the towns of Tanay and General Nakar in nearby the Quezon Province It is only a few hours away from the metro good enough for a day hike or an overnight hike with camping Newbie trekkers will like this trail as getting to the summit will only take between     hours to   hours depending on one s pace This trek is usually done at the same time as exploring Tinipak River Daraitan is an ecotourism site that is managed by the local village through a system of local guides The meeting point is at the Daraitan village center where visitors are required to register and get local guides The trail is well maintained and majestic limestone rock formations await you Tinipak River which can be explored after the trek also features large marble and limestone rocks in the river Part of the Sierra Madre mountain range Mount Daraitan straddles the town of Tanay in Rizal and the town of General Nakar in Quezon province Daraitan is characterized by lush forests and limestone formations which dominate the summit From the zenith enjoy the breathtaking view of the snake like form of Tinipak River and the Sierra Madre mountain range There are two trails a short but challenging trail and a long but relaxed trail Going down you can either trace back your trail or take the trail down to Tinipak River You can check out the nearby cave if you still have time Camping is allowed If you go on a day hike please be there early because there is a limited number of people allowed per day Those who didn t make it on time will be directed to other peaks like Mount Binutasan Mount Lugang or Mount Maynoba From Tanay town center you can hire a tricycle to take you directly to Daraitan s barangay hall The rate is around P    good for     pax Mt Daraitan is a great sampler for hiking up the relatively unexplored Sierra Madre mountains and along with the other attractions in Daraitan particularly the scenic lunaresque Tinipak River is a highly recommended dayhike or overnight destination from Manila
Antipolo Cathedral,Antipolo Cathedral formally known as the National Shrine of Our Lady of Peace and Good Voyage and the Immaculate Conception Parish is a Roman Catholic cathedral located in Antipolo in the Philippines It enshrines the Marian image of Our Lady of Peace and Good Voyage Spanish Nuestra Señora de la Paz y Buen Viaje and is the seat of the Bishop of Antipolo   It is also the Immaculate Conception Parish and is referred to by locals as the Simbahan ng Antipolo Church of Antipolo The province of Rizal is known for its pilgrimage and religious sites In fact the provincial capital Antipolo is hailed as a Pilgrimage City One of Antipolo s historical and religious landmarks is the Antipolo Cathedral officially named National Shrine of Our Lady of Peace and Good Voyage and also the Immaculate Conception Parish The church was completed in the   th century but has undergone several reconstructions and renovations over the years It houses the wooden statue of Mary It attracts huge crowds mostly pilgrims and devotees during Holy Week and the Pilgrimage Season Don t leave without a quick stop at the Victory Pasalubong Center just next to the cathedral and grab some suman sticky rice cake wrapped in leaves usually banana leaves kasuy cashew nuts and other local products The Antipolo Cathedral is a Roman Catholic cathedral located in Antipolo City Rizal in the Philippines It is also the Immaculate Conception Parish and referred by locals as Simbahan ng Antipolo It enshrines the Marian image of Our Lady of Peace and Good Voyage Spanish Nuestra Señora de la Paz y Buen Viaje and is the seat of the Bishop of Antipolo The shrine attracts millions of pilgrims annually especially during the Pilgrimage Season which commences with the Alay Lakad from the Quiapo Church on April    and lasts throughout the month of Mary
Regina Rosarii Institue for Contemplation in Asia (RICA),Devotees of the Virgin Mary frequent this center thus making it a favorite pilgrimage destination The Regina Rosarii Institute however is not only open to those of the Catholic faith but also to anyone who wishes to take some time to contemplate and meditate Its facilities offer opportunities for visitors to commune with nature to pray and contemplate It also organizes special events and seminars that focus on contemplation and prayer You can also choose explore the complex and its many trails Nesting in the foothills of Sitio Aguho in Barangay Sampaloc Regina Rosarii Institute for Contemplation in Asia RICA is a    hectare sanctuary for Dominican Sisters The contemplation area where you can commune not only with the Almighty but also with nature has three waterfalls a creek and over        trees But the primary reason why devotees flock to this area is to visit the    foot tall statue of the Queen of the Holy RosaryI ve been to a number of pilgrimage sites in different provinces and I must say Regina Rica is one of the astounding locations I ve seen The surrounding nature is simply amazing If you re yearning for a contemplative retreat Regina Rica is definitely the place to go But there is more to Regina Rica than just the lush ambience The    foot tall statue of Our Lady of Regina Rica is actually the highlight of the site It s a gigantic effigy of the Blessed Virgin Mary holding the child Jesus Jose Barcena Jr designed and sculpted the sacred masterpiece You can also notice angels beautifully carved at the bottom of the Regina Rica statue From the parking area you need to climb a bit to reach the base of the sculpture Along the way you will see some footprints of those who gave donations and offerings There is an adoration chapel inside the statue that is called SULOD or Sanctuary of Universal Love and Devotion A short briefing or orientation is being conducted before visitors are allowed to proceed to the chapel
Mount Tagapo,Mount Tagapo also known as Susong Dalaga mountain is a conical peak on the lake island of Talim on Laguna de Bay the largest lake in the Philippines The mountain ridge is     m       ft in elevation and the highest point of Talim Island   The peak falls under the jurisdiction of the towns of Binangonan and Cardona in Rizal province Mount Tagapo is a     kilometer out and back trail located near Binangonan Rizal Philippines that features beautiful wild flowers and is rated as difficult The trail is primarily used for hiking walking camping and bird watching Also known as Susong Dalaga Mountain is a cone shaped peak on Talim which is known to be a lake island This mountain is the tallest point on this island and provides stunning panoramic views overlooking the ocean Guides can be hired however it is not necessary Mount Tagapo is in Talim Island in Binangonan Rizal It is located at the heart of the largest lake in the Philippines Laguna de Bay Locals call it Mt Susong Dalaga because from the towns of Laguna you can spot the peak of Tagapo which has the form of a young woman s breast It has an elevation of     meters above sea level and is the highest point of Talim Island The island can be reached by taking a boat ride from Pritil Port in Binangonan There are regular boat rides to various villages on Talim Island but the boats only leave once they ve gathered enough passengers The jump off point to get to Mount Tagapo is at Brgy Janosa Hike to Mount Tagapo is ideal for beginners its level of difficulty is     It is very easy and the ascent is gradual with some parts moderate Most parts of the trail are shaded and you ll see lots of bamboo trees Hike to the summit takes less than two hours
Mount Pamitinan,Rizal Province is easily the playground of both seasoned and newbie hikers who are looking for a quick fix of the outdoor as it is just an hour of drive from the busy capital and a great portion of the marvelous Sierra Madre is within its vicinity Just recently    or so mountains in Rizal opened their doors to hiking enthusiasts adding to the impeccable selection of hiking destinations in the province But despite the emergence of new off beaten and beautiful trails still nothing comes close to one of the all time favorites in this side of the bush the karst mountains in Rodriguez Montalban which promise not just a panoramic view at their summits but also a physical challenge that would make the hike all worth it One of these Montalban favorites is Mt Pamitinan which is one of the trios in Sitio Wawa with Mts Binacayan and Hapunang Banoi as the other two These three also share Wawa Dam as the must see chill side trip at the end of a back breaking hike The park is visited for its scenic views as well as for recreational activities as hiking mountain climbing spelunking and historical sightseeing   It includes the Pamitinan Cave which played a role during the Philippine Revolution and World War II and is the setting of a popular local legend called Bernardo Carpio   The picturesque Montalban Gorge was declared a national monument and reserved area in      by the National Committee on Geological Sciences of the Ministry of Natural Resources Mount Pamitinan is one of the three major mountain attraction nestled in the foothills of Sierra Madre Mountains ranges in Rodriguez Rizal formely Montalban Rizal The view above their summit is spectacular but it provides different level of difficulties due to the existing limestone crags and marble boulders in its trail Conquer the challenging terrains and trails of Mt Pamitinan a trek through a forested area see an ancient Balete tree and challenge your rock climbing skills Stop by Hapunang Banoi Junction and explore the natural wonders at the site and take a dip in the wawa dam You can also try out rock climbing and bouldering during the hike
